"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms6",,,,"User:","tivan"
"Cmdline:","dstat --time --cpu --mem --net --output report2_1.csv",,,,"Date:","05 Nov 2017 16:35:33 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",
05-11 16:36:50,0.990,0.990,96.040,0.0,1.980,0.0,115552256.0,22167552.0,142528512.0,1479618560.0,437720.0,28860.0
05-11 16:36:51,0.0,2.020,93.939,3.030,1.010,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,465790.0,30784.0
05-11 16:36:52,0.990,0.990,96.040,0.0,1.980,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,468042.0,30784.0
05-11 16:36:53,1.010,1.010,96.970,0.0,1.010,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,470288.0,31006.0
05-11 16:36:54,0.990,1.980,96.040,0.0,0.990,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,465787.0,30784.0
05-11 16:36:55,1.010,1.010,96.970,0.0,1.010,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,461306.0,30414.0
05-11 16:36:56,0.0,1.010,97.980,0.0,1.010,0.0,115671040.0,22175744.0,142528512.0,1479491584.0,453446.0,29822.0
05-11 16:36:57,0.980,1.961,83.333,11.765,1.961,0.0,115671040.0,22183936.0,142520320.0,1479491584.0,460232.0,30468.0
05-11 16:36:58,1.010,1.010,96.970,0.0,1.010,0.0,115662848.0,22183936.0,142528512.0,1479491584.0,468017.0,30858.0
05-11 16:36:59,0.990,0.990,97.030,0.0,0.990,0.0,115662848.0,22183936.0,142528512.0,1479491584.0,461292.0,30414.0
05-11 16:37:00,1.010,1.010,96.970,0.0,1.010,0.0,115662848.0,22183936.0,142528512.0,1479491584.0,456942.0,30172.0
05-11 16:37:01,1.0,2.0,96.0,0.0,1.0,0.0,116670464.0,22183936.0,142528512.0,1478483968.0,454425.0,31973.0
05-11 16:37:02,0.990,1.980,95.050,0.0,1.980,0.0,117174272.0,22183936.0,142532608.0,1477976064.0,447379.0,30682.0
05-11 16:37:03,1.0,1.0,89.0,8.0,1.0,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,453597.0,30049.0
05-11 16:37:04,1.010,1.010,96.970,0.0,1.010,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,452392.0,29876.0
05-11 16:37:05,0.990,1.980,95.050,0.0,1.980,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,469606.0,31977.0
05-11 16:37:06,1.0,1.0,97.0,0.0,1.0,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,453444.0,29970.0
05-11 16:37:07,0.0,1.010,96.970,0.0,2.020,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,471395.0,31080.0
05-11 16:37:08,1.0,1.0,98.0,0.0,0.0,0.0,117420032.0,22192128.0,142532608.0,1477722112.0,337923.0,22361.0
05-11 16:37:09,0.0,1.0,95.0,4.0,0.0,0.0,117411840.0,22200320.0,142532608.0,1477722112.0,132.0,66.0
05-11 16:37:10,0.0,0.0,100.0,0.0,0.0,0.0,117411840.0,22200320.0,142532608.0,1477722112.0,0.0,0.0
05-11 16:37:11,0.0,0.0,100.0,0.0,0.0,0.0,117411840.0,22200320.0,142532608.0,1477722112.0,23778.0,1620.0
05-11 16:37:12,0.980,1.961,95.098,0.0,1.961,0.0,117411840.0,22200320.0,142532608.0,1477722112.0,447836.0,29600.0
05-11 16:37:13,1.010,1.010,96.970,0.0,1.010,0.0,117264384.0,22200320.0,142532608.0,1477869568.0,458387.0,30623.0
05-11 16:37:14,1.0,1.0,97.0,0.0,1.0,0.0,117235712.0,22200320.0,142528512.0,1477902336.0,469131.0,30858.0
05-11 16:37:15,1.0,2.0,93.0,3.0,1.0,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,456808.0,30192.0
05-11 16:37:16,0.990,0.990,96.040,0.0,1.980,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,455676.0,29970.0
05-11 16:37:17,0.0,2.020,96.970,0.0,1.010,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,451200.0,29748.0
05-11 16:37:18,1.0,1.0,97.0,0.0,1.0,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,460187.0,30414.0
05-11 16:37:19,0.990,1.980,95.050,0.0,1.980,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,463636.0,30677.0
05-11 16:37:20,1.010,1.010,96.970,0.0,1.010,0.0,117227520.0,22208512.0,142528512.0,1477902336.0,465799.0,30710.0
05-11 16:37:21,1.0,1.0,93.0,4.0,1.0,0.0,117219328.0,22216704.0,142528512.0,1477902336.0,462423.0,30488.0
05-11 16:37:22,0.990,1.980,96.040,0.0,0.990,0.0,117219328.0,22216704.0,142528512.0,1477902336.0,451198.0,29748.0
05-11 16:37:23,0.0,1.010,96.970,0.0,2.020,0.0,117219328.0,22216704.0,142528512.0,1477902336.0,462413.0,30488.0
05-11 16:37:24,1.0,1.0,97.0,0.0,1.0,0.0,117219328.0,22216704.0,142528512.0,1477902336.0,460182.0,30340.0
05-11 16:37:25,0.990,1.980,96.040,0.0,0.990,0.0,117215232.0,22216704.0,142532608.0,1477902336.0,453448.0,29822.0
05-11 16:37:26,1.010,1.010,96.970,0.0,1.010,0.0,117215232.0,22216704.0,142532608.0,1477902336.0,459072.0,30340.0
05-11 16:37:27,0.990,1.980,83.168,11.881,1.980,0.0,117215232.0,22224896.0,142524416.0,1477902336.0,446694.0,29452.0
05-11 16:37:28,0.0,1.010,97.980,0.0,1.010,0.0,117207040.0,22224896.0,142532608.0,1477902336.0,453467.0,29896.0
05-11 16:37:29,1.0,1.0,96.0,0.0,2.0,0.0,117207040.0,22224896.0,142532608.0,1477902336.0,464773.0,30836.0
05-11 16:37:30,1.0,2.0,96.0,0.0,1.0,0.0,117207040.0,22224896.0,142532608.0,1477902336.0,446063.0,30497.0
05-11 16:37:31,1.0,1.0,96.0,0.0,2.0,0.0,117207040.0,22224896.0,142532608.0,1477902336.0,459066.0,30192.0
05-11 16:37:32,1.0,2.0,96.0,0.0,1.0,0.0,117207040.0,22224896.0,142532608.0,1477902336.0,451207.0,29822.0
05-11 16:37:33,1.0,1.0,91.0,6.0,1.0,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,431068.0,28396.0
05-11 16:37:34,0.0,2.0,96.0,0.0,2.0,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,448961.0,29674.0
05-11 16:37:35,1.0,1.0,97.0,0.0,1.0,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,459188.0,30374.0
05-11 16:37:36,0.990,1.980,95.050,0.0,1.980,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,448965.0,29600.0
05-11 16:37:37,1.0,1.0,97.0,0.0,1.0,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,455691.0,30044.0
05-11 16:37:38,1.010,1.010,96.970,0.0,1.010,0.0,117198848.0,22233088.0,142532608.0,1477902336.0,443505.0,29422.0
05-11 16:37:39,0.0,2.0,78.0,18.0,2.0,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,442208.0,29156.0
05-11 16:37:40,1.010,1.010,96.970,0.0,1.010,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,451199.0,29748.0
05-11 16:37:41,0.990,1.980,95.050,0.0,1.980,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,445594.0,29304.0
05-11 16:37:42,1.010,1.010,96.970,0.0,1.010,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,444463.0,29378.0
05-11 16:37:43,1.0,1.0,97.0,0.0,1.0,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,439968.0,29008.0
05-11 16:37:44,0.990,1.980,95.050,0.0,1.980,0.0,117190656.0,22241280.0,142532608.0,1477902336.0,441104.0,29008.0
05-11 16:37:45,1.0,1.0,84.0,13.0,1.0,0.0,117182464.0,22249472.0,142532608.0,1477902336.0,451237.0,29802.0
05-11 16:37:46,0.0,1.010,97.980,0.0,1.010,0.0,117182464.0,22249472.0,142532608.0,1477902336.0,465770.0,30784.0
05-11 16:37:47,1.980,2.970,93.069,0.0,1.980,0.0,117719040.0,22249472.0,142532608.0,1477365760.0,448815.0,31603.0
05-11 16:37:48,1.0,1.0,97.0,0.0,1.0,0.0,117698560.0,22249472.0,142540800.0,1477378048.0,457622.0,31710.0
05-11 16:37:49,1.010,1.010,96.970,0.0,1.010,0.0,117698560.0,22249472.0,142540800.0,1477378048.0,440398.0,31502.0
05-11 16:37:50,0.990,1.980,95.050,0.0,1.980,0.0,117698560.0,22249472.0,142540800.0,1477378048.0,457019.0,30368.0
05-11 16:37:51,1.0,2.0,91.0,5.0,1.0,0.0,117198848.0,22257664.0,142540800.0,1477869568.0,452125.0,30337.0
05-11 16:37:52,1.0,1.0,96.0,0.0,2.0,0.0,117170176.0,22257664.0,142536704.0,1477902336.0,463636.0,30640.0
05-11 16:37:53,1.0,1.0,97.0,0.0,1.0,0.0,117170176.0,22257664.0,142536704.0,1477902336.0,461418.0,30558.0
05-11 16:37:54,0.0,2.020,96.970,0.0,1.010,0.0,117170176.0,22257664.0,142536704.0,1477902336.0,455747.0,30044.0
05-11 16:37:55,1.0,1.0,96.0,0.0,2.0,0.0,117170176.0,22257664.0,142536704.0,1477902336.0,458393.0,31311.0
05-11 16:37:56,1.0,2.0,91.0,5.0,1.0,0.0,117170176.0,22265856.0,142528512.0,1477902336.0,454582.0,29970.0
05-11 16:37:57,0.990,0.990,96.040,0.0,1.980,0.0,117161984.0,22265856.0,142536704.0,1477902336.0,459041.0,30266.0
05-11 16:37:58,1.0,2.0,96.0,0.0,1.0,0.0,117161984.0,22265856.0,142536704.0,1477902336.0,466928.0,30784.0
05-11 16:37:59,1.0,1.0,97.0,0.0,1.0,0.0,117161984.0,22265856.0,142536704.0,1477902336.0,452331.0,29822.0
05-11 16:38:00,0.0,1.010,96.970,0.0,2.020,0.0,117161984.0,22265856.0,142536704.0,1477902336.0,452303.0,29748.0
05-11 16:38:01,0.990,1.980,96.040,0.0,0.990,0.0,117161984.0,22265856.0,142536704.0,1477902336.0,461378.0,30488.0
05-11 16:38:02,1.0,1.0,89.0,7.0,2.0,0.0,117153792.0,22274048.0,142536704.0,1477902336.0,450074.0,29600.0
05-11 16:38:03,0.990,1.980,96.040,0.0,0.990,0.0,117149696.0,22274048.0,142540800.0,1477902336.0,457939.0,30192.0
05-11 16:38:04,1.010,1.010,96.970,0.0,1.010,0.0,117149696.0,22274048.0,142540800.0,1477902336.0,456792.0,30192.0
05-11 16:38:05,0.0,1.0,97.0,0.0,2.0,0.0,117149696.0,22274048.0,142540800.0,1477902336.0,461292.0,30340.0
05-11 16:38:06,0.990,1.980,96.040,0.0,0.990,0.0,117149696.0,22274048.0,142540800.0,1477902336.0,460196.0,30340.0
05-11 16:38:07,1.010,1.010,96.970,0.0,1.010,0.0,117149696.0,22274048.0,142540800.0,1477902336.0,469175.0,31006.0
05-11 16:38:08,1.0,1.0,93.0,4.0,1.0,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,475880.0,31302.0
05-11 16:38:09,1.0,2.0,96.0,0.0,1.0,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,466911.0,30858.0
05-11 16:38:10,1.0,1.0,96.0,0.0,2.0,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,445645.0,29358.0
05-11 16:38:11,0.0,2.0,97.0,0.0,1.0,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,406437.0,26916.0
05-11 16:38:12,0.0,0.0,100.0,0.0,0.0,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,252.0,174.0
05-11 16:38:13,0.990,0.990,97.030,0.0,0.990,0.0,117141504.0,22282240.0,142540800.0,1477902336.0,306617.0,20342.0
05-11 16:38:14,1.010,1.010,90.909,6.061,1.010,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,464749.0,30710.0
05-11 16:38:15,1.0,1.0,97.0,0.0,1.0,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,455744.0,30118.0
05-11 16:38:16,0.0,1.980,96.040,0.0,1.980,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,464665.0,30636.0
05-11 16:38:17,1.010,1.010,96.970,0.0,1.010,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,451318.0,29876.0
05-11 16:38:18,1.0,1.0,97.0,0.0,1.0,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,460183.0,30340.0
05-11 16:38:19,0.990,1.980,96.040,0.0,0.990,0.0,117133312.0,22290432.0,142540800.0,1477902336.0,456813.0,30118.0
05-11 16:38:20,1.0,1.0,93.0,3.0,2.0,0.0,117133312.0,22298624.0,142532608.0,1477902336.0,471860.0,32273.0
05-11 16:38:21,1.010,1.010,96.970,0.0,1.010,0.0,117125120.0,22298624.0,142540800.0,1477902336.0,454641.0,30044.0
05-11 16:38:22,0.0,2.0,97.0,0.0,1.0,0.0,117125120.0,22298624.0,142540800.0,1477902336.0,469173.0,30932.0
05-11 16:38:23,1.010,1.010,96.970,0.0,1.010,0.0,117125120.0,22298624.0,142540800.0,1477902336.0,459055.0,30340.0
05-11 16:38:24,0.990,0.990,96.040,0.0,1.980,0.0,117125120.0,22298624.0,142540800.0,1477902336.0,454558.0,29970.0
05-11 16:38:25,0.990,1.980,96.040,0.0,0.990,0.0,117125120.0,22298624.0,142540800.0,1477902336.0,453440.0,29896.0
05-11 16:38:26,0.0,1.010,93.939,4.040,1.010,0.0,117252096.0,22306816.0,142532608.0,1477775360.0,459118.0,30340.0
05-11 16:38:27,0.990,1.980,95.050,0.0,1.980,0.0,117243904.0,22306816.0,142540800.0,1477775360.0,446717.0,29452.0
05-11 16:38:28,1.010,1.010,96.970,0.0,1.010,0.0,117243904.0,22306816.0,142540800.0,1477775360.0,456815.0,30118.0
05-11 16:38:29,0.990,1.980,95.050,0.0,1.980,0.0,117243904.0,22306816.0,142540800.0,1477775360.0,452328.0,29748.0
05-11 16:38:30,1.0,1.0,97.0,0.0,1.0,0.0,117243904.0,22306816.0,142540800.0,1477775360.0,452328.0,29896.0
05-11 16:38:31,0.0,2.020,96.970,0.0,1.010,0.0,117116928.0,22306816.0,142540800.0,1477902336.0,448972.0,29526.0
05-11 16:38:32,0.990,0.990,91.089,4.950,1.980,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,447835.0,29526.0
05-11 16:38:33,1.010,1.010,96.970,0.0,1.010,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,450099.0,29748.0
05-11 16:38:34,0.990,1.980,96.040,0.0,0.990,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,451203.0,29748.0
05-11 16:38:35,1.0,1.0,96.0,0.0,2.0,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,454580.0,29896.0
05-11 16:38:36,0.0,2.020,96.970,0.0,1.010,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,441164.0,29210.0
05-11 16:38:37,0.990,0.990,96.040,0.0,1.980,0.0,117108736.0,22315008.0,142540800.0,1477902336.0,452324.0,29822.0
05-11 16:38:38,1.010,1.010,92.929,4.040,1.010,0.0,117100544.0,22323200.0,142540800.0,1477902336.0,459066.0,30192.0
05-11 16:38:39,0.980,1.961,95.098,0.0,1.961,0.0,117100544.0,22323200.0,142540800.0,1477902336.0,464787.0,30764.0
05-11 16:38:40,1.010,1.010,96.970,0.0,1.010,0.0,117096448.0,22323200.0,142544896.0,1477902336.0,445580.0,29378.0
05-11 16:38:41,1.0,2.0,96.0,0.0,1.0,0.0,117096448.0,22323200.0,142544896.0,1477902336.0,452320.0,29822.0
05-11 16:38:42,0.0,1.010,96.970,0.0,2.020,0.0,117096448.0,22323200.0,142544896.0,1477902336.0,446765.0,29506.0
05-11 16:38:43,0.990,1.980,96.040,0.0,0.990,0.0,117096448.0,22323200.0,142544896.0,1477902336.0,453447.0,29896.0
05-11 16:38:44,1.010,1.010,84.848,11.111,2.020,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,454559.0,29970.0
05-11 16:38:45,1.0,2.0,96.0,0.0,1.0,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,450550.0,30793.0
05-11 16:38:46,1.0,1.0,97.0,0.0,1.0,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,454543.0,29896.0
05-11 16:38:47,0.990,1.980,95.050,0.0,1.980,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,445572.0,29452.0
05-11 16:38:48,0.0,1.010,97.980,0.0,1.010,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,460149.0,30340.0
05-11 16:38:49,1.010,1.010,96.970,0.0,1.010,0.0,117088256.0,22331392.0,142544896.0,1477902336.0,450192.0,29708.0
05-11 16:38:50,0.980,1.961,66.667,28.431,1.961,0.0,117080064.0,22339584.0,142544896.0,1477902336.0,464694.0,30636.0
